Symbol,marketcap
DGRE,68628000
DGRS,125018000
DGRW,2698750000
DHIL,509173445
DHXM,218519730
DINT,104548000
DIOD,2087680859
DISCA,15291441631
DISCB,15866611330
DISCK,14401491245
DISH,15355958295
DJCO,312752776
DLBS,13126617
DLHC,76549984
DLPN,24150598
DLPNW,0
DLTH,851937607
DLTR,23109262913
DMAC,42805609
DMLP,612024515
DMPI,8494397
DMRC,346727571
DNBF,170017448
DNJR,183005872
DNKN,5916292309
DNLI,2039678336
DOCU,8921883403
DOGZ,90622559
DOMO,868097942
DOOO,1276567082
DORM,2997959520
DOVA,222248292
DOX,7932080496
DRAD,14707667
DRIO,27418331
DRIOW,0
DRIV,0
DRNA,659312710
DRRX,127265497
DRYS,490405025
DSGX,2635831579
DSKE,317114575
DSKEW,0
DSLV,25990191
DSPG,292102624
DSWL,47814569
DTEA,36150782
DTSS,65466476
DTUS,4919521
DTYL,4922906
DTYS,50365803
DUSA,177364500
DVAX,656379775
DVCR,22843028
DVLU,14536036
DVOL,21989040
DVY,17183936000
DWAQ,43000000
DWAS,262497000
DWAT,5379200
DWCR,16212240
DWFI,105402560
DWIN,38275415
DWLD,201344000
DWLV,23230531
DWMC,1661250
DWPP,42905559
DWSH,14433180
DWSN,86038646
DWTR,63756029
DXCM,12159237057
DXGE,54568000
DXJS,87584200
DXLG,127655353
DXPE,647815191
DXYN,20741984
DYNT,17442176
DYSL,17605815
DZSI,241998343
EA,28737207074
EAGL,412343750
EAGLU,0
EAGLW,0
EARS,14265550
EAST,53584642
EBAY,34298868108
EBAYL,0
EBIX,1801135616
EBIZ,0
EBMT,111930135
EBSB,886646064
EBTC,371501757
ECHO,725671476
ECOL,1361177677
ECOR,264166805
ECPG,1037250224
EDAP,81194025
EDBI,0
EDGE,12687892
EDIT,949988475
EDNT,23987519
EDRY,17782832
EDTX,79299688
EDTXU,80327500
EDTXW,0
EDUC,65992499
EEFT,6908568751
EEI,50506811
EEMA,502050000
EFAS,0
EFBI,25312274
EFII,1208997935
EFOI,13811376
EFSC,1063869787
EGAN,318923575
EGBN,2060867986
EGLE,367318627
EGOV,1148986774
